Asset ID,Parent Asset ID,Asset Description,Asset Number
96301,95066,MANUAL VALVE,120-HV-1048
96354,95068,TRANSMITTER_TEMPERATURE,120-TT-1111
97293,95069,TRANSMITTER_TEMPERATURE,120-TT-2111
97534,95071,CONTROL VALVE,120-PV-2169
95180,95093,PHOSPHATE DOSING PUMP ,120-XP-101-PD-01B
95176,95094,DMDS DOSING PUMP,120-XP-102-PD-01A
95177,95094,DMDS DOSING PUMP,120-XP-102-PD-01B
96608,95094,PRESS REGULATING VALVE,120-PCV-1851
95181,95103,PHOSPHATE DOSING PUMP ,120-XP-201-PD-01A
95182,95103,PHOSPHATE DOSING PUMP ,120-XP-201-PD-01B
97581,95103,PRESSURE GAUGE,120-PG-2467
95178,95104,DMDS DOSING PUMP,120-XP-202-PD-01A
95179,95104,DMDS DOSING PUMP,120-XP-202-PD-01B
118794,95127,PRESSURE GAUGE,120-PG-2468
118795,95127,PRESSURE GAUGE,120-PG-2469
118796,95127,PRESSURE GAUGE,120-PG-2470
171715,95127,TBD,120-XP-103-EA-M01
118971,95128,TRANSMITTER DP FLOW,120-FT-2602
118972,95128,LEVEL SWITCH,120-LSH-2600
118973,95128,LEVEL SWITCH,120-LSH-2601
171722,95128,TBD,120-XP-203-EA-01-M01-VSD
95164,95131,DUCT DRAIN POT PUMP,120-XP-103-PC-02A
95165,95131,DUCT DRAIN POT PUMP,120-XP-103-PC-02B
95168,95131,CONDENSATE DRUM PUMP,120-XP-103-PC-01A
95169,95131,CONDENSATE DRUM PUMP,120-XP-103-PC-01B
95166,95132,DUCT DRAIN POT PUMP,120-XP-203-PC-02A
95167,95132,DUCT DRAIN POT PUMP,120-XP-203-PC-02B
95170,95132,CONDENSATE DRUM PUMP,120-XP-203-PC-01A
95171,95132,CONDENSATE DRUM PUMP,120-XP-203-PC-01B
95198,95133,Process Condensate/GAS,120-PSV-0301A
95199,95133,Process Condensate/GAS,120-PSV-0301B
97605,95133,LEVEL GAUGE,120-LG-1705
95200,95134,Process Condensate/GAS,120-PSV-0302A
95201,95134,Process Condensate/GAS,120-PSV-0302B
97609,95134,PRESSURE GAUGE,120-PG-1707
95202,95135,Process Condensate/GAS,120-PSV-0303A
